/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/occupylog.txt
cuda: cuda:0
Version: occupy
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 144/800000 | Epoch: 1 | itr: 144/7500 | Loss_G: 22554536.00000
Tot_itrs: 145/800000 | Epoch: 1 | itr: 145/7500 | Loss_G: 90430040.00000
Tot_itrs: 146/800000 | Epoch: 1 | itr: 146/7500 | Loss_G: 14105304.00000
Tot_itrs: 147/800000 | Epoch: 1 | itr: 147/7500 | Loss_G: 1251136384.00000
Tot_itrs: 148/800000 | Epoch: 1 | itr: 148/7500 | Loss_G: 184595184.00000
Tot_itrs: 149/800000 | Epoch: 1 | itr: 149/7500 | Loss_G: 143817792.00000
Tot_itrs: 150/800000 | Epoch: 1 | itr: 150/7500 | Loss_G: 114175032.00000
Tot_itrs: 151/800000 | Epoch: 1 | itr: 151/7500 | Loss_G: 205336848.00000
Tot_itrs: 152/800000 | Epoch: 1 | itr: 152/7500 | Loss_G: 8655449.00000
Tot_itrs: 153/800000 | Epoch: 1 | itr: 153/7500 | Loss_G: 3844941.00000
Tot_itrs: 154/800000 | Epoch: 1 | itr: 154/7500 | Loss_G: 194056080.00000
Tot_itrs: 155/800000 | Epoch: 1 | itr: 155/7500 | Loss_G: 60387708.00000
Tot_itrs: 156/800000 | Epoch: 1 | itr: 156/7500 | Loss_G: 307325536.00000
Tot_itrs: 157/800000 | Epoch: 1 | itr: 157/7500 | Loss_G: 23576040.00000
Tot_itrs: 158/800000 | Epoch: 1 | itr: 158/7500 | Loss_G: 3439144.50000
Tot_itrs: 159/800000 | Epoch: 1 | itr: 159/7500 | Loss_G: 91682912.00000
Tot_itrs: 160/800000 | Epoch: 1 | itr: 160/7500 | Loss_G: 2003974.62500
Tot_itrs: 161/800000 | Epoch: 1 | itr: 161/7500 | Loss_G: 24987834.00000
Tot_itrs: 162/800000 | Epoch: 1 | itr: 162/7500 | Loss_G: 26838988.00000
Tot_itrs: 163/800000 | Epoch: 1 | itr: 163/7500 | Loss_G: 328925344.00000
Tot_itrs: 164/800000 | Epoch: 1 | itr: 164/7500 | Loss_G: 808322624.00000
Tot_itrs: 165/800000 | Epoch: 1 | itr: 165/7500 | Loss_G: 522986464.00000
Tot_itrs: 166/800000 | Epoch: 1 | itr: 166/7500 | Loss_G: 29035574.00000
Tot_itrs: 167/800000 | Epoch: 1 | itr: 167/7500 | Loss_G: 6172536.50000
Tot_itrs: 168/800000 | Epoch: 1 | itr: 168/7500 | Loss_G: 102897928.00000
Tot_itrs: 169/800000 | Epoch: 1 | itr: 169/7500 | Loss_G: 26286086.00000
Tot_itrs: 170/800000 | Epoch: 1 | itr: 170/7500 | Loss_G: 24838944.00000
Tot_itrs: 171/800000 | Epoch: 1 | itr: 171/7500 | Loss_G: 61841292.00000
Tot_itrs: 172/800000 | Epoch: 1 | itr: 172/7500 | Loss_G: 22588682.00000
Tot_itrs: 173/800000 | Epoch: 1 | itr: 173/7500 | Loss_G: 192226672.00000
Tot_itrs: 174/800000 | Epoch: 1 | itr: 174/7500 | Loss_G: 4086759.50000
Tot_itrs: 175/800000 | Epoch: 1 | itr: 175/7500 | Loss_G: 28110710.00000
Tot_itrs: 176/800000 | Epoch: 1 | itr: 176/7500 | Loss_G: 115853384.00000
Tot_itrs: 177/800000 | Epoch: 1 | itr: 177/7500 | Loss_G: 35714964.00000
Tot_itrs: 178/800000 | Epoch: 1 | itr: 178/7500 | Loss_G: 44571492.00000
Tot_itrs: 179/800000 | Epoch: 1 | itr: 179/7500 | Loss_G: 6790270.50000
Tot_itrs: 180/800000 | Epoch: 1 | itr: 180/7500 | Loss_G: 13097200.00000
Tot_itrs: 181/800000 | Epoch: 1 | itr: 181/7500 | Loss_G: 127285360.00000
Tot_itrs: 182/800000 | Epoch: 1 | itr: 182/7500 | Loss_G: 39972068.00000
Tot_itrs: 183/800000 | Epoch: 1 | itr: 183/7500 | Loss_G: 4256054.50000
Tot_itrs: 184/800000 | Epoch: 1 | itr: 184/7500 | Loss_G: 93893688.00000
Tot_itrs: 185/800000 | Epoch: 1 | itr: 185/7500 | Loss_G: 158025.07812
Tot_itrs: 186/800000 | Epoch: 1 | itr: 186/7500 | Loss_G: 31205032.00000
Tot_itrs: 187/800000 | Epoch: 1 | itr: 187/7500 | Loss_G: 4603843.50000
Tot_itrs: 188/800000 | Epoch: 1 | itr: 188/7500 | Loss_G: 254249968.00000
Tot_itrs: 189/800000 | Epoch: 1 | itr: 189/7500 | Loss_G: 43551232.00000
Tot_itrs: 190/800000 | Epoch: 1 | itr: 190/7500 | Loss_G: 371215648.00000
Tot_itrs: 191/800000 | Epoch: 1 | itr: 191/7500 | Loss_G: 247942336.00000
Tot_itrs: 192/800000 | Epoch: 1 | itr: 192/7500 | Loss_G: 86216472.00000
Tot_itrs: 193/800000 | Epoch: 1 | itr: 193/7500 | Loss_G: 9265552.00000
Tot_itrs: 194/800000 | Epoch: 1 | itr: 194/7500 | Loss_G: 601151040.00000
Tot_itrs: 195/800000 | Epoch: 1 | itr: 195/7500 | Loss_G: 166365360.00000
Tot_itrs: 196/800000 | Epoch: 1 | itr: 196/7500 | Loss_G: 10314367.00000
Tot_itrs: 197/800000 | Epoch: 1 | itr: 197/7500 | Loss_G: 6468644.50000
Tot_itrs: 198/800000 | Epoch: 1 | itr: 198/7500 | Loss_G: 165197408.00000
Tot_itrs: 199/800000 | Epoch: 1 | itr: 199/7500 | Loss_G: 767898240.00000
Tot_itrs: 200/800000 | Epoch: 1 | itr: 200/7500 | Loss_G: 13024151.00000
Tot_itrs: 201/800000 | Epoch: 1 | itr: 201/7500 | Loss_G: 309207648.00000
Tot_itrs: 202/800000 | Epoch: 1 | itr: 202/7500 | Loss_G: 171926784.00000
Tot_itrs: 203/800000 | Epoch: 1 | itr: 203/7500 | Loss_G: 31977268.00000
Tot_itrs: 204/800000 | Epoch: 1 | itr: 204/7500 | Loss_G: 2520939776.00000
Tot_itrs: 205/800000 | Epoch: 1 | itr: 205/7500 | Loss_G: 623832768.00000
Tot_itrs: 206/800000 | Epoch: 1 | itr: 206/7500 | Loss_G: 2443548160.00000
Tot_itrs: 207/800000 | Epoch: 1 | itr: 207/7500 | Loss_G: 739233792.00000
Tot_itrs: 208/800000 | Epoch: 1 | itr: 208/7500 | Loss_G: 20584218.00000
Tot_itrs: 209/800000 | Epoch: 1 | itr: 209/7500 | Loss_G: 128606304.00000
Tot_itrs: 210/800000 | Epoch: 1 | itr: 210/7500 | Loss_G: 321699200.00000
Tot_itrs: 211/800000 | Epoch: 1 | itr: 211/7500 | Loss_G: 37943128.00000
Tot_itrs: 212/800000 | Epoch: 1 | itr: 212/7500 | Loss_G: 93663576.00000
Tot_itrs: 213/800000 | Epoch: 1 | itr: 213/7500 | Loss_G: 744763072.00000
Tot_itrs: 214/800000 | Epoch: 1 | itr: 214/7500 | Loss_G: 183905120.00000
Tot_itrs: 215/800000 | Epoch: 1 | itr: 215/7500 | Loss_G: 101641720.00000
Tot_itrs: 216/800000 | Epoch: 1 | itr: 216/7500 | Loss_G: 318577344.00000
Tot_itrs: 217/800000 | Epoch: 1 | itr: 217/7500 | Loss_G: 45966252.00000
Tot_itrs: 218/800000 | Epoch: 1 | itr: 218/7500 | Loss_G: 16734545.00000
