/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/SoftPartialConv_limited-low_lrlog.txt
cuda: cuda:1
Version: SoftPartialConv_limited-low_lr
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2/train_alpha
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 237/160000 | Epoch: 1 | itr: 237/7500 | Loss_G: 123.88889
Tot_itrs: 238/160000 | Epoch: 1 | itr: 238/7500 | Loss_G: 125.24237
Tot_itrs: 239/160000 | Epoch: 1 | itr: 239/7500 | Loss_G: 177.85548
Tot_itrs: 240/160000 | Epoch: 1 | itr: 240/7500 | Loss_G: 151.12358
Tot_itrs: 241/160000 | Epoch: 1 | itr: 241/7500 | Loss_G: 179.53487
Tot_itrs: 242/160000 | Epoch: 1 | itr: 242/7500 | Loss_G: 112.00089
Tot_itrs: 243/160000 | Epoch: 1 | itr: 243/7500 | Loss_G: 105.80543
Tot_itrs: 244/160000 | Epoch: 1 | itr: 244/7500 | Loss_G: 232.01456
Tot_itrs: 245/160000 | Epoch: 1 | itr: 245/7500 | Loss_G: 199.56584
Tot_itrs: 246/160000 | Epoch: 1 | itr: 246/7500 | Loss_G: 112.45700
Tot_itrs: 247/160000 | Epoch: 1 | itr: 247/7500 | Loss_G: 119.43625
Tot_itrs: 248/160000 | Epoch: 1 | itr: 248/7500 | Loss_G: 232.95804
Tot_itrs: 249/160000 | Epoch: 1 | itr: 249/7500 | Loss_G: 111.55179
Tot_itrs: 250/160000 | Epoch: 1 | itr: 250/7500 | Loss_G: 119.08765
Tot_itrs: 251/160000 | Epoch: 1 | itr: 251/7500 | Loss_G: 161.27719
Tot_itrs: 252/160000 | Epoch: 1 | itr: 252/7500 | Loss_G: 146.02313
Tot_itrs: 253/160000 | Epoch: 1 | itr: 253/7500 | Loss_G: 110.78932
Tot_itrs: 254/160000 | Epoch: 1 | itr: 254/7500 | Loss_G: 169.33221
Tot_itrs: 255/160000 | Epoch: 1 | itr: 255/7500 | Loss_G: 162.30145
Tot_itrs: 256/160000 | Epoch: 1 | itr: 256/7500 | Loss_G: 136.03186
Tot_itrs: 257/160000 | Epoch: 1 | itr: 257/7500 | Loss_G: 157.28577
Tot_itrs: 258/160000 | Epoch: 1 | itr: 258/7500 | Loss_G: 132.21068
Tot_itrs: 259/160000 | Epoch: 1 | itr: 259/7500 | Loss_G: 152.12572
Tot_itrs: 260/160000 | Epoch: 1 | itr: 260/7500 | Loss_G: 135.96758
Tot_itrs: 261/160000 | Epoch: 1 | itr: 261/7500 | Loss_G: 127.26529
Tot_itrs: 262/160000 | Epoch: 1 | itr: 262/7500 | Loss_G: 305.89075
Tot_itrs: 263/160000 | Epoch: 1 | itr: 263/7500 | Loss_G: 154.43579
Tot_itrs: 264/160000 | Epoch: 1 | itr: 264/7500 | Loss_G: 160.69324
Tot_itrs: 265/160000 | Epoch: 1 | itr: 265/7500 | Loss_G: 147.95924
Tot_itrs: 266/160000 | Epoch: 1 | itr: 266/7500 | Loss_G: 174.30469
Tot_itrs: 267/160000 | Epoch: 1 | itr: 267/7500 | Loss_G: 160.76259
Tot_itrs: 268/160000 | Epoch: 1 | itr: 268/7500 | Loss_G: 166.30684
Tot_itrs: 269/160000 | Epoch: 1 | itr: 269/7500 | Loss_G: 403.23608
Tot_itrs: 270/160000 | Epoch: 1 | itr: 270/7500 | Loss_G: 130.38348
Tot_itrs: 271/160000 | Epoch: 1 | itr: 271/7500 | Loss_G: 236.16400
Tot_itrs: 272/160000 | Epoch: 1 | itr: 272/7500 | Loss_G: 106.03799
Tot_itrs: 273/160000 | Epoch: 1 | itr: 273/7500 | Loss_G: 104.36191
Tot_itrs: 274/160000 | Epoch: 1 | itr: 274/7500 | Loss_G: 127.36270
Tot_itrs: 275/160000 | Epoch: 1 | itr: 275/7500 | Loss_G: 163.08890
Tot_itrs: 276/160000 | Epoch: 1 | itr: 276/7500 | Loss_G: 125.86980
Tot_itrs: 277/160000 | Epoch: 1 | itr: 277/7500 | Loss_G: 137.97896
Tot_itrs: 278/160000 | Epoch: 1 | itr: 278/7500 | Loss_G: 354.03534
Tot_itrs: 279/160000 | Epoch: 1 | itr: 279/7500 | Loss_G: 199.03723
Tot_itrs: 280/160000 | Epoch: 1 | itr: 280/7500 | Loss_G: 153.92436
Tot_itrs: 281/160000 | Epoch: 1 | itr: 281/7500 | Loss_G: 204.21930
